Domain,Problem,Experiment Name,Total Landmarks,Individual LMs,Disjunctions,Overall,Unary Methods,Unary Action,Overall Action,Overall Method
Factories-simple,pfile11.hddl,lmc,56,5,51,1093,1,4,857,236
Factories-simple,pfile11.hddl,lmc-BD,55,6,49,1110,1,5,864,246
Factories-simple,pfile11.hddl,lmc-GZD,53,5,48,1502,1,4,826,676
Factories-simple,pfile11.hddl,lmc-BDpGZD,51,2,49,1698,1,1,853,845
Factories-simple,pfile11.hddl,lmc-VDM,64,11,53,1238,1,10,863,375
Factories-simple,pfile05.hddl,lmc,24,5,19,179,1,4,115,64
Factories-simple,pfile05.hddl,lmc-BD,23,2,21,179,1,1,127,52
Factories-simple,pfile05.hddl,lmc-GZD,24,2,22,245,1,1,124,121
Factories-simple,pfile05.hddl,lmc-BDpGZD,24,2,22,234,1,1,124,110
Factories-simple,pfile05.hddl,lmc-VDM,25,5,20,192,1,4,122,70
Factories-simple,pfile12.hddl,lmc,59,6,53,1596,1,5,1106,490
Factories-simple,pfile12.hddl,lmc-BD,61,5,56,1529,1,4,1087,442
Factories-simple,pfile12.hddl,lmc-GZD,55,2,53,1796,1,1,1127,669
Factories-simple,pfile12.hddl,lmc-BDpGZD,51,1,50,1773,1,0,1062,711
Factories-simple,pfile12.hddl,lmc-VDM,72,8,64,1860,1,7,1099,761
Factories-simple,pfile19.hddl,lmc,69,2,67,2297,1,1,1881,416
Factories-simple,pfile19.hddl,lmc-BD,71,4,67,2519,1,3,1956,563
Factories-simple,pfile19.hddl,lmc-GZD,69,1,68,3563,1,0,1907,1656
Factories-simple,pfile19.hddl,lmc-BDpGZD,73,2,71,3320,1,1,1979,1341
Factories-simple,pfile19.hddl,lmc-VDM,94,10,84,2613,1,9,2026,587
Factories-simple,pfile10.hddl,lmc,52,1,51,904,1,0,760,144
Factories-simple,pfile10.hddl,lmc-BD,52,2,50,893,1,1,769,124
Factories-simple,pfile10.hddl,lmc-GZD,51,2,49,1233,1,1,794,439
Factories-simple,pfile10.hddl,lmc-BDpGZD,51,2,49,1319,1,1,768,551
Factories-simple,pfile10.hddl,lmc-VDM,60,2,58,960,1,1,778,182
Factories-simple,pfile13.hddl,lmc,45,4,41,1179,1,3,939,240
