Domain,Experiment Name,Count,Sum Total Landmarks,Sum Individual LMs,Sum Disjunctions,Sum Overall
AssemblyHierarchical,lmc,30,1842.0,120.0,1722.0,21373.0
AssemblyHierarchical,lmc-BD,30,1950.0,120.0,1830.0,21612.0
AssemblyHierarchical,lmc-GZD,30,1831.0,120.0,1711.0,14033.0
AssemblyHierarchical,lmc-BDpGZD,30,1950.0,120.0,1830.0,14194.0
AssemblyHierarchical,lmc-VDM,30,1950.0,120.0,1830.0,21612.0
Barman-BDI,lmc,20,715.0,20.0,695.0,29933.0
Barman-BDI,lmc-BD,20,742.0,20.0,722.0,30060.0
Barman-BDI,lmc-GZD,20,664.0,20.0,644.0,29241.0
Barman-BDI,lmc-BDpGZD,20,690.0,20.0,670.0,29323.0
Barman-BDI,lmc-VDM,20,742.0,20.0,722.0,30129.0
Blocksworld-GTOHP,lmc,31,9638.0,4183.0,5455.0,26176.0
Blocksworld-GTOHP,lmc-BD,31,9643.0,4181.0,5462.0,26110.0
Blocksworld-GTOHP,lmc-GZD,31,9642.0,4190.0,5452.0,26194.0
Blocksworld-GTOHP,lmc-BDpGZD,31,9652.0,4192.0,5460.0,26203.0
Blocksworld-GTOHP,lmc-VDM,31,11961.0,4340.0,7621.0,24522.0
Blocksworld-HPDDL,lmc,30,8563.0,6756.0,1807.0,80250.0
Blocksworld-HPDDL,lmc-BD,30,8616.0,6802.0,1814.0,79854.0
Blocksworld-HPDDL,lmc-GZD,30,8711.0,6928.0,1783.0,65468.0
Blocksworld-HPDDL,lmc-BDpGZD,30,8810.0,6952.0,1858.0,59663.0
Blocksworld-HPDDL,lmc-VDM,30,12661.0,8808.0,3853.0,57095.0
Depots,lmc,17,2236.0,190.0,2046.0,41200.0
Depots,lmc-BD,16,2249.0,204.0,2045.0,41637.0
Depots,lmc-GZD,16,2249.0,194.0,2055.0,41558.0
Depots,lmc-BDpGZD,16,2254.0,205.0,2049.0,41171.0
Depots,lmc-VDM,16,2435.0,240.0,2195.0,42140.0

Total,lmc,128,22994.0,11269.0,11725.0,198932.0
Total,lmc-BD,127,23200.0,11327.0,11873.0,199273.0
Total,lmc-GZD,127,23097.0,11452.0,11645.0,176494.0
Total,lmc-BDpGZD,127,23356.0,11489.0,11867.0,170554.0
Total,lmc-VDM,127,29749.0,13528.0,16221.0,175498.0
