Domain,Problem,Experiment Name,Total Landmarks,Individual LMs,Disjunctions,Overall,Unary Methods,Unary Action,Overall Action,Overall Method
AssemblyHierarchical,genericLinearProblem_depth17.hddl,lmc,67,4,63,787,2,2,384,403
AssemblyHierarchical,genericLinearProblem_depth17.hddl,lmc-BD,71,4,67,792,2,2,388,404
AssemblyHierarchical,genericLinearProblem_depth17.hddl,lmc-GZD,65,4,61,495,2,2,256,239
AssemblyHierarchical,genericLinearProblem_depth17.hddl,lmc-BDpGZD,71,4,67,505,2,2,268,237
AssemblyHierarchical,genericLinearProblem_depth17.hddl,lmc-VDM,71,4,67,792,2,2,388,404
AssemblyHierarchical,genericLinearProblem_depth03.hddl,lmc,14,4,10,117,2,2,50,67
AssemblyHierarchical,genericLinearProblem_depth03.hddl,lmc-BD,15,4,11,120,2,2,52,68
AssemblyHierarchical,genericLinearProblem_depth03.hddl,lmc-GZD,13,4,9,83,2,2,40,43
AssemblyHierarchical,genericLinearProblem_depth03.hddl,lmc-BDpGZD,15,4,11,85,2,2,44,41
AssemblyHierarchical,genericLinearProblem_depth03.hddl,lmc-VDM,15,4,11,120,2,2,52,68
AssemblyHierarchical,genericLinearProblem_depth07.hddl,lmc,29,4,25,304,2,2,141,163
AssemblyHierarchical,genericLinearProblem_depth07.hddl,lmc-BD,31,4,27,313,2,2,149,164
AssemblyHierarchical,genericLinearProblem_depth07.hddl,lmc-GZD,29,4,25,204,2,2,104,100
AssemblyHierarchical,genericLinearProblem_depth07.hddl,lmc-BDpGZD,31,4,27,205,2,2,108,97
AssemblyHierarchical,genericLinearProblem_depth07.hddl,lmc-VDM,31,4,27,313,2,2,149,164
AssemblyHierarchical,genericLinearProblem_depth30.hddl,lmc,119,4,115,1410,2,2,694,716
AssemblyHierarchical,genericLinearProblem_depth30.hddl,lmc-BD,123,4,119,1416,2,2,700,716
AssemblyHierarchical,genericLinearProblem_depth30.hddl,lmc-GZD,116,4,112,885,2,2,462,423
AssemblyHierarchical,genericLinearProblem_depth30.hddl,lmc-BDpGZD,123,4,119,895,2,2,476,419
AssemblyHierarchical,genericLinearProblem_depth30.hddl,lmc-VDM,123,4,119,1416,2,2,700,716
AssemblyHierarchical,genericLinearProblem_depth19.hddl,lmc,73,4,69,874,2,2,424,450
AssemblyHierarchical,genericLinearProblem_depth19.hddl,lmc-BD,79,4,75,888,2,2,436,452
AssemblyHierarchical,genericLinearProblem_depth19.hddl,lmc-GZD,77,4,73,561,2,2,296,265
AssemblyHierarchical,genericLinearProblem_depth19.hddl,lmc-BDpGZD,79,4,75,565,2,2,300,265
AssemblyHierarchical,genericLinearProblem_depth19.hddl,lmc-VDM,79,4,75,888,2,2,436,452
AssemblyHierarchical,genericLinearProblem_depth09.hddl,lmc,37,4,33,404,2,2,192,212
AssemblyHierarchical,genericLinearProblem_depth09.hddl,lmc-BD,39,4,35,408,2,2,196,212
AssemblyHierarchical,genericLinearProblem_depth09.hddl,lmc-GZD,36,4,32,260,2,2,134,126
AssemblyHierarchical,genericLinearProblem_depth09.hddl,lmc-BDpGZD,39,4,35,265,2,2,140,125
AssemblyHierarchical,genericLinearProblem_depth09.hddl,lmc-VDM,39,4,35,408,2,2,196,212
AssemblyHierarchical,genericLinearProblem_depth02.hddl,lmc,10,4,6,56,2,2,28,28
AssemblyHierarchical,genericLinearProblem_depth02.hddl,lmc-BD,11,4,7,73,2,2,29,44
AssemblyHierarchical,genericLinearProblem_depth02.hddl,lmc-GZD,10,4,6,38,2,2,12,26
AssemblyHierarchical,genericLinearProblem_depth02.hddl,lmc-BDpGZD,11,4,7,55,2,2,28,27
AssemblyHierarchical,genericLinearProblem_depth02.hddl,lmc-VDM,11,4,7,73,2,2,29,44
AssemblyHierarchical,genericLinearProblem_depth15.hddl,lmc,61,4,57,680,2,2,328,352
AssemblyHierarchical,genericLinearProblem_depth15.hddl,lmc-BD,63,4,59,696,2,2,340,356
AssemblyHierarchical,genericLinearProblem_depth15.hddl,lmc-GZD,61,4,57,441,2,2,232,209
AssemblyHierarchical,genericLinearProblem_depth15.hddl,lmc-BDpGZD,63,4,59,445,2,2,236,209
AssemblyHierarchical,genericLinearProblem_depth15.hddl,lmc-VDM,63,4,59,696,2,2,340,356
