Domain,Problem,Experiment Name,Total Landmarks,Individual LMs,Disjunctions,Overall,Unary Methods,Unary Action,Overall Action,Overall Method
Hiking,p27.hddl,,,,,,,,,
Hiking,p27.hddl,,,,,,,,,
Hiking,p27.hddl,,,,,,,,,
Hiking,p27.hddl,,,,,,,,,
Hiking,p27.hddl,,,,,,,,,
Hiking,p12.hddl,lmc,32,1,31,18512,1,0,4420,14092
Hiking,p12.hddl,lmc-BD,38,1,37,22229,1,0,6113,16116
Hiking,p12.hddl,lmc-GZD,32,1,31,10680,1,0,4405,6275
Hiking,p12.hddl,lmc-BDpGZD,37,1,36,20251,1,0,5833,14418
Hiking,p12.hddl,lmc-VDM,34,1,33,19596,1,0,4071,15525
Hiking,p13.hddl,lmc,37,2,35,24043,1,1,5347,18696
Hiking,p13.hddl,lmc-BD,42,1,41,27029,1,0,8070,18959
Hiking,p13.hddl,lmc-GZD,37,2,35,24023,1,1,5321,18702
Hiking,p13.hddl,lmc-BDpGZD,42,1,41,27118,1,0,8070,19048
Hiking,p13.hddl,lmc-VDM,38,1,37,25640,1,0,5464,20176
Hiking,p06.hddl,lmc,30,2,28,10605,1,1,2070,8535
Hiking,p06.hddl,lmc-BD,35,1,34,12464,1,0,3772,8692
Hiking,p06.hddl,lmc-GZD,30,1,29,10883,1,0,2015,8868
Hiking,p06.hddl,lmc-BDpGZD,35,1,34,12457,1,0,3784,8673
Hiking,p06.hddl,lmc-VDM,31,1,30,11324,1,0,2266,9058
Hiking,p04.hddl,lmc,25,1,24,6313,1,0,1446,4867
Hiking,p04.hddl,lmc-BD,27,1,26,6695,1,0,1909,4786
Hiking,p04.hddl,lmc-GZD,24,1,23,5483,1,0,1430,4053
Hiking,p04.hddl,lmc-BDpGZD,27,1,26,6673,1,0,1857,4816
Hiking,p04.hddl,lmc-VDM,25,1,24,6129,1,0,1028,5101
Hiking,p20.hddl,lmc,44,1,43,41255,1,0,9842,31413
Hiking,p20.hddl,lmc-BD,49,1,48,50496,1,0,14916,35580
Hiking,p20.hddl,lmc-GZD,45,1,44,45955,1,0,9842,36113
Hiking,p20.hddl,lmc-BDpGZD,49,1,48,50557,1,0,14808,35749
Hiking,p20.hddl,lmc-VDM,45,1,44,47874,1,0,10088,37786
Hiking,p01.hddl,lmc,14,1,13,1427,1,0,465,962
Hiking,p01.hddl,lmc-BD,16,1,15,1582,1,0,534,1048
Hiking,p01.hddl,lmc-GZD,14,1,13,1178,1,0,459,719
Hiking,p01.hddl,lmc-BDpGZD,16,1,15,1253,1,0,520,733
Hiking,p01.hddl,lmc-VDM,16,1,15,1486,1,0,414,1072
Hiking,p23.hddl,lmc,65,1,64,166849,1,0,29884,136965
Hiking,p23.hddl,lmc-BD,70,1,69,192621,1,0,56076,136545
Hiking,p23.hddl,lmc-GZD,64,1,63,130851,1,0,27376,103475
Hiking,p23.hddl,lmc-BDpGZD,70,1,69,196098,1,0,56218,139880
Hiking,p23.hddl,lmc-VDM,65,1,64,152804,1,0,14824,137980
Hiking,p16.hddl,lmc,24,1,23,10043,1,0,2111,7932
Hiking,p16.hddl,lmc-BD,26,1,25,11297,1,0,2531,8766
Hiking,p16.hddl,lmc-GZD,24,1,23,8878,1,0,2111,6767
Hiking,p16.hddl,lmc-BDpGZD,25,1,24,10787,1,0,2434,8353
Hiking,p16.hddl,lmc-VDM,26,1,25,11177,1,0,2519,8658
Hiking,p14.hddl,lmc,41,1,40,29228,1,0,5378,23850
Hiking,p14.hddl,lmc-BD,48,1,47,37667,1,0,10925,26742
Hiking,p14.hddl,lmc-GZD,42,1,41,28726,1,0,4678,24048
Hiking,p14.hddl,lmc-BDpGZD,47,1,46,34943,1,0,10597,24346
Hiking,p14.hddl,lmc-VDM,42,1,41,31308,1,0,5740,25568
Hiking,p17.hddl,lmc,28,1,27,13673,1,0,3239,10434
Hiking,p17.hddl,lmc-BD,31,1,30,17788,1,0,4657,13131
Hiking,p17.hddl,lmc-GZD,28,1,27,13757,1,0,3239,10518
Hiking,p17.hddl,lmc-BDpGZD,32,1,31,18110,1,0,4683,13427
Hiking,p17.hddl,lmc-VDM,30,1,29,19068,1,0,3659,15409
Hiking,p26.hddl,lmc,109,1,108,1959898,1,0,271776,1688122
Hiking,p26.hddl,lmc-BD,117,1,116,2114405,1,0,418609,1695796
Hiking,p26.hddl,lmc-GZD,109,1,108,1949350,1,0,269652,1679698
Hiking,p26.hddl,lmc-BDpGZD,117,1,116,2118385,1,0,418820,1699565
Hiking,p26.hddl,lmc-VDM,110,1,109,1915802,1,0,206481,1709321
Hiking,p18.hddl,lmc,34,1,33,18563,1,0,5171,13392
Hiking,p18.hddl,lmc-BD,37,1,36,27256,1,0,7612,19644
Hiking,p18.hddl,lmc-GZD,34,1,33,12516,1,0,5172,7344
Hiking,p18.hddl,lmc-BDpGZD,37,1,36,27200,1,0,7532,19668
Hiking,p18.hddl,lmc-VDM,35,1,34,25764,1,0,4401,21363
Hiking,p29.hddl,,,,,,,,,
Hiking,p29.hddl,,,,,,,,,
Hiking,p29.hddl,,,,,,,,,
Hiking,p29.hddl,,,,,,,,,
